V1	C2	V3	C4
-0.0004883	-0.0004883	-0.0004883	-0.0004883
0.13394573	0.04388562	0.13394573	0.04388562
0.27661976	0.09054842	0.27661976	0.09054842
0.10412915	0.03405866	0.10412915	0.03405866
0.03921628	0.01281777	0.03921628	0.01281777
0.01477096	0.00476089	0.01477096	0.00476089
0.00555437	0.00170904	0.00555437	0.00170904
0.00210578	0.00054933	0.00210578	0.00054933
-0.16156499	-0.05298013	-0.16156499	-0.05298013
-0.1498764	-0.04919584	-0.1498764	-0.04919584
-0.35947752	-0.11813715	-0.35947752	-0.11813715
-0.1353801	-0.04452651	-0.1353801	-0.04452651
-0.05093539	-0.01678518	-0.05093539	-0.01678518
-0.01913511	-0.00640889	-0.01913511	-0.00640889
-0.00717185	-0.00241096	-0.00717185	-0.00241096
-0.00268563	-0.00094607	-0.00268563	-0.00094607
0.03698843	0.01190222	0.03698843	0.01190222
0.1447798	0.0474868	0.1447798	0.0474868
0.27936643	0.09167761	0.27936643	0.09167761
0.19910276	0.06534013	0.19910276	0.06534013
0.07498398	0.02453688	0.07498398	0.02453688
0.02822962	0.00918607	0.02822962	0.00918607
0.01062044	0.00338755	0.01062044	0.00338755
0.00396741	0.00134281	0.00396741	0.00134281
0.00149541	0.00039674	0.00149541	0.00039674
-0.17053743	-0.05597094	-0.17053743	-0.05597094
-0.13681448	-0.04504532	-0.13681448	-0.04504532
-0.25989562	-0.08526871	-0.25989562	-0.08526871
-0.09784234	-0.03213599	-0.09784234	-0.03213599
-0.03683584	-0.01208533	-0.03683584	-0.01208533
-0.0138554	-0.00454726	-0.0138554	-0.00454726
-0.00518815	-0.00170904	-0.00518815	-0.00170904
-0.00192267	-0.00070193	-0.00192267	-0.00070193
0.13281655	0.04361095	0.13281655	0.04361095
0.13827936	0.04522843	0.13827936	0.04522843
0.38004699	0.12445448	0.38004699	0.12445448
0.14310129	0.04690695	0.14310129	0.04690695
0.05389569	0.01757866	0.05389569	0.01757866
0.02023377	0.00665304	0.02023377	0.00665304
0.00762963	0.00238044	0.00762963	0.00238044
0.00283822	0.00094607	0.00283822	0.00094607
-0.05587939	-0.01821955	-0.05587939	-0.01821955
-0.15662099	-0.05151524	-0.15662099	-0.05151524
-0.29639578	-0.09735405	-0.29639578	-0.09735405
-0.18588825	-0.06122013	-0.18588825	-0.06122013
-0.06997894	-0.02307199	-0.06997894	-0.02307199
-0.02636799	-0.0085757	-0.02636799	-0.0085757
-0.00991852	-0.00326548	-0.00991852	-0.00326548
-0.0036317	-0.00140385	-0.0036317	-0.00140385
-0.00134281	-0.0004883	-0.00134281	-0.0004883
0.15079196	0.04959258	0.15079196	0.04959258
0.13702811	0.04489273	0.13702811	0.04489273
0.2746971	0.08975494	0.2746971	0.08975494
0.10342723	0.03381451	0.10342723	0.03381451
0.03894162	0.01272622	0.03894162	0.01272622
0.01461837	0.00488296	0.01461837	0.00488296
0.00546281	0.00177007	0.00546281	0.00177007
0.00207526	0.00057985	0.00207526	0.00057985
-0.16608173	-0.05447554	-0.16608173	-0.05447554
-0.14453566	-0.0474868	-0.14453566	-0.0474868
-0.35776848	-0.1175573	-0.35776848	-0.1175573
-0.1347087	-0.04434339	-0.1347087	-0.04434339
-0.05069124	-0.01675466	-0.05069124	-0.01675466
-0.01907407	-0.00634785	-0.01907407	-0.00634785
-0.00717185	-0.00238044	-0.00717185	-0.00238044
-0.00268563	-0.00088504	-0.00268563	-0.00088504
0.03985717	0.01306192	0.03985717	0.01306192
0.14505447	0.04760887	0.14505447	0.04760887
0.27793208	0.09112827	0.27793208	0.09112827
0.19861446	0.06497391	0.19861446	0.06497391
0.07480086	0.02444533	0.07480086	0.02444533
0.0281991	0.00900296	0.0281991	0.00900296
0.01058992	0.00335704	0.01058992	0.00335704
0.00396741	0.00122074	0.00396741	0.00122074
0.00140385	0.00070193	0.00140385	0.00070193
-0.17169714	-0.05627613	-0.17169714	-0.05627613
-0.14255196	-0.04675436	-0.14255196	-0.04675436
-0.25757623	-0.08465835	-0.25757623	-0.08465835
-0.09698782	-0.03189184	-0.09698782	-0.03189184
-0.03650014	-0.01205481	-0.03650014	-0.01205481
-0.01367229	-0.00463881	-0.01367229	-0.00463881
-0.00512711	-0.00180059	-0.00512711	-0.00180059
-0.00192267	-0.00064089	-0.00192267	-0.00064089
0.14688559	0.04846339	0.14688559	0.04846339
0.13681448	0.04495376	0.13681448	0.04495376
0.37870419	0.12396619	0.37870419	0.12396619
0.14261299	0.0466628	0.14261299	0.0466628
0.05368206	0.01757866	0.05368206	0.01757866
0.02023377	0.00643941	0.02023377	0.00643941
0.00762963	0.00228889	0.00762963	0.00228889
0.00286874	0.000824	0.00286874	0.000824
-0.05694754	-0.01840266	-0.05694754	-0.01840266
-0.15604115	-0.05117954	-0.15604115	-0.05117954
-0.29306924	-0.09619434	-0.29306924	-0.09619434
-0.18594928	-0.06112858	-0.18594928	-0.06112858
-0.06997894	-0.02313303	-0.06997894	-0.02313303
-0.02633747	-0.00863674	-0.02633747	-0.00863674
-0.00985748	-0.00335704	-0.00985748	-0.00335704
-0.0036317	-0.00146489	-0.0036317	-0.00146489
-0.00134281	-0.00054933	-0.00134281	-0.00054933
0.15515611	0.05099643	0.15515611	0.05099643
0.14484085	0.04757836	0.14484085	0.04757836
0.27368999	0.08960234	0.27368999	0.08960234
0.10303049	0.03372295	0.10303049	0.03372295
0.03869747	0.01297037	0.03869747	0.01297037
0.01458785	0.00476089	0.01458785	0.00476089
0.00558489	0.00152593	0.00558489	0.00152593
0.0021363	0.0004883	0.0021363	0.0004883
-0.15637684	-0.05130161	-0.15637684	-0.05130161
-0.14181951	-0.04654073	-0.14181951	-0.04654073
-0.3566393	-0.11719108	-0.3566393	-0.11719108
-0.13434248	-0.04406873	-0.13434248	-0.04406873
-0.05053865	-0.01672414	-0.05053865	-0.01672414
-0.01901303	-0.00634785	-0.01901303	-0.00634785
-0.00714133	-0.00238044	-0.00714133	-0.00238044
-0.00262459	-0.00103763	-0.00262459	-0.00103763
0.04358043	0.01416059	0.04358043	0.01416059
0.14563432	0.04776147	0.14563432	0.04776147
0.29276407	0.09588916	0.29276407	0.09588916
0.19739372	0.06457716	0.19739372	0.06457716
0.07434309	0.02426222	0.07434309	0.02426222
0.02798547	0.00912503	0.02798547	0.00912503
0.0105594	0.003296	0.0105594	0.003296
0.00399792	0.0011597	0.00399792	0.0011597
0.00152593	0.0003357	0.00152593	0.0003357
-0.17023225	-0.05600147	-0.17023225	-0.05600147
-0.14822841	-0.04873806	-0.14822841	-0.04873806
-0.25675222	-0.08435316	-0.25675222	-0.08435316
-0.09671316	-0.03170873	-0.09671316	-0.03170873
-0.03640858	-0.01193274	-0.03640858	-0.01193274
-0.01367229	-0.00448622	-0.01367229	-0.00448622
-0.00509659	-0.00170904	-0.00509659	-0.00170904
-0.00186163	-0.000824	-0.00186163	-0.000824
0.14896084	0.04889065	0.14896084	0.04889065
0.14020203	0.04586932	0.14020203	0.04586932
0.37846005	0.12390515	0.37846005	0.12390515
0.14252144	0.04660176	0.14252144	0.04660176
0.05365154	0.01754814	0.05365154	0.01754814
0.02020325	0.00662252	0.02020325	0.00662252
0.00759911	0.00244148	0.00759911	0.00244148
0.00283822	0.000824	0.00283822	0.000824
-0.05725272	-0.01852474	-0.05725272	-0.01852474
-0.15582751	-0.05108798	-0.15582751	-0.05108798
-0.29706717	-0.09768975	-0.29706717	-0.09768975
-0.18561357	-0.06112858	-0.18561357	-0.06112858
-0.06988738	-0.02304148	-0.06988738	-0.02304148
-0.02627644	-0.00866726	-0.02627644	-0.00866726
-0.00985748	-0.00326548	-0.00985748	-0.00326548
-0.00369274	-0.00128178	-0.00369274	-0.00128178
-0.00137333	-0.00051881	-0.00137333	-0.00051881
0.15091403	0.04962309	0.15091403	0.04962309
0.14734337	0.04840235	0.14734337	0.04840235
0.27356791	0.08948027	0.27356791	0.08948027
0.10303049	0.03357036	0.10303049	0.03357036
0.03881954	0.01254311	0.03881954	0.01254311
0.01458785	0.00469985	0.01458785	0.00469985
0.00540178	0.00189215	0.00540178	0.00189215
0.00204474	0.00057985	0.00204474	0.00057985
-0.17078158	-0.05594043	-0.17078158	-0.05594043
-0.14377269	-0.04721214	-0.14377269	-0.04721214
-0.35584581	-0.11691641	-0.35584581	-0.11691641
-0.13400677	-0.04409925	-0.13400677	-0.04409925
-0.05041658	-0.01672414	-0.05041658	-0.01672414
-0.01892148	-0.00640889	-0.01892148	-0.00640889
-0.00714133	-0.00234993	-0.00714133	-0.00234993
-0.00268563	-0.000824	-0.00268563	-0.000824
0.03500473	0.01162755	0.03500473	0.01162755
0.14676352	0.04815821	0.14676352	0.04815821
0.29273355	0.09598071	0.29273355	0.09598071
0.19718009	0.06439406	0.19718009	0.06439406
0.07428205	0.02417066	0.07428205	0.02417066
0.02801599	0.0089114	0.02801599	0.0089114
0.0105594	0.00326548	0.0105594	0.00326548
0.00399792	0.0011597	0.00399792	0.0011597
0.00149541	0.00051881	0.00149541	0.00051881
-0.16653951	-0.05459761	-0.16653951	-0.05459761
-0.15005951	-0.04925688	-0.15005951	-0.04925688
-0.25666067	-0.08438368	-0.25666067	-0.08438368
-0.0966216	-0.03186132	-0.0966216	-0.03186132
-0.03637806	-0.01205481	-0.03637806	-0.01205481
-0.01367229	-0.00454726	-0.01367229	-0.00454726
-0.00509659	-0.00173956	-0.00509659	-0.00173956
-0.00189215	-0.00064089	-0.00189215	-0.00064089
0.15228736	0.05014191	0.15228736	0.05014191
0.14893033	0.04895169	0.14893033	0.04895169
0.37803277	0.12384411	0.37803277	0.12384411
0.14236885	0.04657125	0.14236885	0.04657125
0.05362102	0.01742607	0.05362102	0.01742607
0.02020325	0.00653096	0.02020325	0.00653096
0.00759911	0.00231941	0.00759911	0.00231941
0.00289926	0.00076296	0.00289926	0.00076296
-0.05816828	-0.01904355	-0.05816828	-0.01904355
-0.15799433	-0.05169836	-0.15799433	-0.05169836
-0.30396435	-0.09961241	-0.30396435	-0.09961241
-0.18439284	-0.06054872	-0.18439284	-0.06054872
-0.06942961	-0.02282785	-0.06942961	-0.02282785
-0.02612384	-0.00854518	-0.02612384	-0.00854518
-0.00979644	-0.00326548	-0.00979644	-0.00326548
-0.0036317	-0.0013123	-0.0036317	-0.0013123
-0.00134281	-0.00054933	-0.00134281	-0.00054933
0.15674306	0.05154576	0.15674306	0.05154576
0.14007996	0.04593036	0.14007996	0.04593036
0.27134007	0.08902249	0.27134007	0.08902249
0.10217597	0.03344829	0.10217597	0.03344829
